uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Indurated/Hard,,Misc,N/A,Indurated/Hard,,,,,,,,,,,
,Inguinal,,Misc,N/A,Inguinal,,,,,,,,,,,
,Intestinal,,Misc,N/A,Intestinal,,,,,,,,,,,
,Intra Uterine Contraceptive Device,,Misc,N/A,Intra Uterine Contraceptive Device,,,,,,,,,,,
,Invasive Ductal Carcinoma,,Misc,N/A,Invasive Ductal Carcinoma,,,,,,,,,,,
,Invasive Lobular Carcinoma,,Misc,N/A,Invasive Lobular Carcinoma,,,,,,,,,,,
,Leaving Against Medical Advice,,Misc,N/A,Leaving Against Medical Advice,,,,,,,,,,,
,Left Axillary,,Misc,N/A,Left Axillary,,,,,,,,,,,
,Left Side,,Misc,N/A,Left Side,,,,,,,,,,,
,Lepromatous,,Misc,N/A,LL,,,,,,,,,,,
,Liver,,Misc,N/A,Liver,,,,,,,,,,,
,Locally Advanced,,Misc,N/A,Locally Advanced,,,,,,,,,,,
,Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,,,,,,,,,,,
,Lost of Follow Up,,Misc,N/A,L,,,,,,,,,,,
,Lung,,Misc,N/A,Lung,,,,,,,,,,,
,Lymph Node,,Misc,N/A,Lymph Node,,,,,,,,,,,
,M0 Metastatic Stage,,Misc,N/A,M0,,,,,,,,,,,
,M1 Metastatic Stage,,Misc,N/A,M1,,,,,,,,,,,
,Macerated stillbirth,,Misc,N/A,Macerated stillbirth,,,,,,,,,,,
,Male,,Misc,N/A,Male,,,,,,,,,,,
,Male sterilization,,Misc,N/A,Male sterilization,,,,,,,,,,,
,Manual Vacuum Aspiration,,Procedure,N/A,Manual Vacuum Aspiration,,,,,,,,,,,
,Medical Abortion,,Procedure,N/A,Medical Abortion,,,,,,,,,,,
,Medical Induction,,Procedure,N/A,Medical Induction,,,,,,,,,,,
,Meningeal,,Misc,N/A,Meningeal,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,,,,,,,,,,,
,Metastatic Disease,,Misc,N/A,Metastatic Disease,,,,,,,,,,,
,Metastatic Disease (Stage IV),,Misc,N/A,Metastatic Disease (Stage IV),,,,,,,,,,,
,Midspectrum Borderline,,Misc,N/A,BB,,,,,,,,,,,
,Mobile,,Misc,N/A,Mobile,,,,,,,,,,,
,Multibacillary Leprosy,,Misc,N/A,MB,,,,,,,,,,,
,MX Metastatic Stage,,Misc,N/A,MX,,,,,,,,,,,
,N0 Lymph Node Stage,,Misc,N/A,N0,,,,,,,,,,,
,N1 Lymph Node Stage,,Misc,N/A,N1,,,,,,,,,,,
,N2 Lymph Node Stage,,Misc,N/A,N2,,,,,,,,,,,
,N3 Lymph Node Stage,,Misc,N/A,N3,,,,,,,,,,,
,Negative,,Misc,N/A,Negative,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,,,,,,,,,,,
,Never Had Problems,,Misc,N/A,N,,,,,,,,,,,
,New Diagnosis,,Misc,N/A,New,,,,,,,,,,,
,Night Sweats,,Misc,N/A,Night Sweats,,,,,,,,,,,
,Nil,,Misc,N/A,Nil,,,,,,,,,,,
,Nodular,,Misc,N/A,Nodular,,,,,,,,,,,
,Non SBA Health worker,,Misc,N/A,Non SBA,,,,,,,,,,,
,Non-Metastatic,,Misc,N/A,Non-Metastatic,,,,,,,,,,,
,Normal,,Misc,N/A,Normal,,,,,,,,,,,
,Not Applicable,,Misc,N/A,Not Applicable,,,,,,,,,,,
,Not Complete,,Misc,N/A,Not Complete,,,,,,,,,,,
,Not determined,,Misc,N/A,Not determined,,,,,,,,,,,
,Not in Good Condition,,Misc,N/A,Not in Good Condition,,,,,,,,,,,
,Numbness of Fingers,,Misc,N/A,Numbness of Fingers,,,,,,,,,,,
,NX Lymph Node Stage,,Misc,N/A,NX,,,,,,,,,,,
,On Treatment,,Misc,N/A,On Treatment,,,,,,,,,,,
,Open Biopsy,,Misc,N/A,Open Biopsy,,,,,,,,,,,
,Other,,Misc,N/A,Other,,,,,,,,,,,
,Other Invasive Carcinoma (Specify),,Misc,N/A,Other Invasive Carcinoma (Specify),,,,,,,,,,,
,Other multiple births all liveborn,,Misc,N/A,Other multiple births all liveborn,,,,,,,,,,,
,Other multiple births all stillborn,,Misc,N/A,Other multiple births all stillborn,,,,,,,,,,,
,Other multiple births some liveborn,,Misc,N/A,Other multiple births some liveborn,,,,,,,,,,,
,Paclitaxel,,Misc,N/A,Paclitaxel,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,Palliative,,Misc,N/A,Palliative,,,,,,,,,,,
,Palliative Systemic,,Misc,N/A,Palliative Systemic,,,,,,,,,,,
,Partial Nephrectomy,,Misc,N/A,Partial Nephrectomy,,,,,,,,,,,
,Patient S/P Surgical Resection,,Misc,N/A,Patient S/P Surgical Resection,,,,,,,,,,,
,Paucibacillary Leprosy,,Misc,N/A,PB,,,,,,,,,,,
,Pericardial,,Misc,N/A,Pericardial,,,,,,,,,,,
,Peritoneal,,Misc,N/A,Peritoneal,,,,,,,,,,,
,Periumbilical,,Misc,N/A,Periumbilical,,,,,,,,,,,
,Pills,,Misc,N/A,Pills,,,,,,,,,,,
,Pleural,,Misc,N/A,Pleural,,,,,,,,,,,
,pN0,,Misc,N/A,pN0,,,,,,,,,,,
,pN1,,Misc,N/A,pN1,,,,,,,,,,,
,pN2,,Misc,N/A,pN2,,,,,,,,,,,
,pN3,,Misc,N/A,pN3,,,,,,,,,,,
,Positive,,Misc,N/A,Positive,,,,,,,,,,,
,Post-Operative / Palliative Chemotherapy,,Misc,N/A,Post-Operative / Palliative Chemotherapy,,,,,,,,,,,
,Post-Operative Chemotherapy,,Misc,N/A,Post-Operative Chemotherapy,,,,,,,,,,,
,PR-,,Misc,N/A,PR-,,,,,,,,,,,
,PR+,,Misc,N/A,PR+,,,,,,,,,,,
,Pre-Operative Chemotherapy,,Misc,N/A,Pre-Operative Chemotherapy,,,,,,,,,,,
,Pulmonary,,Misc,N/A,Pulmonary,,,,,,,,,,,
,Pure Neurotic,,Misc,N/A,PAN,,,,,,,,,,,
,Pylorus,,Misc,N/A,Pylorus,,,,,,,,,,,
,Radiation Therapy,,Misc,N/A,Radiation Therapy,,,,,,,,,,,
,Raised,,Misc,N/A,Raised,,,,,,,,,,,
,Referred out,,Misc,N/A,Referred out,,,,,,,,,,,
,Relapse,,Misc,N/A,Relapse,,,,,,,,,,,
,Related Lymphoma,,Misc,N/A,Related Lymphoma,,,,,,,,,,,
,Related Neuropathy,,Misc,N/A,Related Neuropathy,,,,,,,,,,,
,Renal,,Misc,N/A,Renal,,,,,,,,,,,
,Reported Weight Loss greater than 10 percent,,Misc,N/A,Reported weight loss > 10%,,,,,,,,,,,
,Requiring laparotomy,,Finding,N/A,Requiring laparotomy,,,,,,,,,,,
,Resectable Disease (Stage I-III),,Misc,N/A,Resectable Disease (Stage I-III),,,,,,,,,,,
,Resectable/Curable Disease,,Misc,N/A,Resectable/Curable Disease,,,,,,,,,,,
,Results Pending,,Misc,N/A,P,,,,,,,,,,,
,Right Side,,Misc,N/A,Right Side,,,,,,,,,,,
,S/P Chemotherapy,,Misc,N/A,S/P Chemotherapy,,,,,,,,,,,
,S/P Radiotherapy,,Misc,N/A,S/P Radiotherapy,,,,,,,,,,,
,S/P Surgery,,Misc,N/A,S/P Surgery,,,,,,,,,,,
,Self Reported,,Misc,N/A,Self Reported,,,,,,,,,,,
,Septic Abortion,,Misc,N/A,Septic Abortion,,,,,,,,,,,
,Shoulder Presentation,,Misc,N/A,Shoulder,,,,,,,,,,,
,Sigmoid,,Misc,N/A,Sigmoid,,,,,,,,,,,
,Single live birth,,Misc,N/A,Single live birth,,,,,,,,,,,
,Single stillbirth,,Misc,N/A,Single stillbirth,,,,,,,,,,,
,Skeletal,,Misc,N/A,Skeletal,,,,,,,,,,,
,Skilled Birth Attendant,,Misc,N/A,SBA,,,,,,,,,,,
,Slit Skin Positive,,Misc,N/A,Slit Skin Positive,,,,,,,,,,,
,Smoking,,Misc,N/A,,,,,,,,,,,,
,Spontaneous abortion,,Misc,N/A,Spontaneous abortion,,,,,,,,,,,
,Spontaneous Vaginal Delivery,,Misc,N/A,Spontaneous Vaginal Delivery,,,,,,,,,,,
,Squamous Cell Carcinoma,,Misc,N/A,Squamous Cell Carcinoma,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,,,,,,,,,,,
,Stage I,,Misc,N/A,I,,,,,,,,,,,
,Stage I0,,Misc,N/A,0,,,,,,,,,,,
,Stage I1,,Misc,N/A,1,,,,,,,,,,,
,Stage IA,,Misc,N/A,IA,,,,,,,,,,,
,Stage IB,,Misc,N/A,IB,,,,,,,,,,,
,Stage II,,Misc,N/A,II,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,,,,,,,,,,,
,Stage III,,Misc,N/A,III,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,,,,,,,,,,,
,Stage IIIC,,Misc,N/A,IIIC,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,,,,,,,,,,,
,Stage IVA,,Misc,N/A,IVA,,,,,,,,,,,
,Stage IVB,,Misc,N/A,IVB,,,,,,,,,,,
,Stage S0,,Misc,N/A,0,,,,,,,,,,,
,Stage S1,,Misc,N/A,1,,,,,,,,,,,
,Stage T0,,Misc,N/A,0,,,,,,,,,,,
,Stage T1,,Misc,N/A,1,,,,,,,,,,,
,Stage V,,Misc,N/A,V,,,,,,,,,,,
,Status Quo,,Misc,N/A,S,,,,,,,,,,,
,Superclavicular,,Misc,N/A,Superclavicular,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,,,,,,,,,,,
,T0 Tumor Stage,,Misc,N/A,T0,,,,,,,,,,,
,T1 Tumor Stage,,Misc,N/A,T1,,,,,,,,,,,
,T2 Tumor Stage,,Misc,N/A,T2,,,,,,,,,,,
,T3 Tumor Stage,,Misc,N/A,T3,,,,,,,,,,,
,T4 Tumor Stage,,Misc,N/A,T4,,,,,,,,,,,
,Tamoxifen,,Misc,N/A,Tamoxifen,,,,,,,,,,,
,Td4 Tumor Stage,,Misc,N/A,Td4,,,,,,,,,,,
,Thrust/Yeast,,Misc,N/A,Thrust/Yeast,,,,,,,,,,,
,Tis Tumor Stage,,Misc,N/A,Tis,,,,,,,,,,,
,Tobacco,,Misc,N/A,,,,,,,,,,,,
,Total Nephrectomy,,Misc,N/A,Total Nephrectomy,,,,,,,,,,,
,Treatment after default,,Misc,N/A,Treatment after default,,,,,,,,,,,
,Treatment after failure,,Misc,N/A,Treatment after failure,,,,,,,,,,,
,Treatment after relapse,,Misc,N/A,Treatment after relapse,,,,,,,,,,,
,Treatment Complete,,Misc,N/A,Complete,,,,,,,,,,,
,Treatment Cured,,Misc,N/A,Cured,,,,,,,,,,,
,Treatment Default,,Misc,N/A,Default,,,,,,,,,,,
,Treatment Failure,,Misc,N/A,Treatment Failure,,,,,,,,,,,
,Treatment Not Continued,,Misc,N/A,Treatment Not Continued,,,,,,,,,,,
,Tuberculoid,,Misc,N/A,TT,,,,,,,,,,,
,Twins both liveborn,,Misc,N/A,Twins both liveborn,,,,,,,,,,,
,Twins both stillborn,,Misc,N/A,Twins both stillborn,,,,,,,,,,,
,Twins one liveborn and one stillborn,,Misc,N/A,Twins one liveborn and one stillborn,,,,,,,,,,,
,TX Tumor Stage,,Misc,N/A,TX,,,,,,,,,,,
,Unexplained Fever,,Misc,N/A,Unexplained Fever,,,,,,,,,,,
,Unknown,,Misc,N/A,Unknown,,,,,,,,,,,
,Uterine or Intra-abdominal injury,,Finding,N/A,Uterine or Intra-abdominal injury,,,,,,,,,,,
,Vincristine/Actinomycin D,,Misc,N/A,Vincristine/Actinomycin D,,,,,,,,,,,
,Vincristine/Actinomycin D/Doxorubicin,,Misc,N/A,Vincristine/Actinomycin D/Doxorubicin,,,,,,,,,,,
,Yes,,Misc,N/A,Yes,,,,,,,,,,,
